name,description,address,city,state,zip,tcn
SACCASHL,Shell Oil Products US - W Sacramento,1509 South River Road,Sacramento,CA,94203,T-68-CA-4622
SANDCAKM,"SFPP, LP",9950 San Diego Mission Road,San Diego,CA,92101,T-33-CA-4776
SANTXCAL,Calumet San Antonio Refining,7811 S. Presa,San Antonio,TX,78201,T-74-TX-2712
SARALSHL,Shell Chemical LP - Mobil,400 Industrial Parkway,Saraland,AL,36571,T-63-AL-2334
SATXCITG,CITGO - San Antonio,4851 Emil Road,San Antonio,TX,78201,T-74-TX-2737
SATXEXXN,ExxonMobil Oil Corp.,3214 North Pan Am Expressway,San Antonio,TX,78201,T-74-TX-2740
SATXFH,"Flint Hills Resources, LP-San Antonio",498 and Pop Gun,San Antonio,TX,78201,T-74-TX-2742
SATXMOTV,Motiva Enterprises LLC,510 Petroleum Drive,San Antonio,TX,78201,T-74-TX-2745
SATXNUSE,"NuStar Logistics, L. P. - San Antonio East",4719 Corner Parkway #2,San Antonio,TX,78201,T-74-TX-2738
SAVGACOL,"Colonial Terminal, Inc.",101 North Lathrop Ave,Savannah,GA,31401,T-58-GA-2550
SEAWAEQU,Shell Oil Products US,2555 13th Ave. S W,Seattle,WA,98060,T-91-WA-4408
SGTCATES,Tesoro Logistics Operations LLC,8601 S. Garfield Ave.,South Gate,CA,90280,T-95-CA-4807
SHRLACAL,Shreveport Refinery,3333 Midway  PO Box 3099,Shreveport,LA,71101,T-72-LA-2378
SJCASHL,Shell Oil Products US,2165 O'Toole Ave.,San Jose,CA,95101,T-77-CA-4653
SLKTXSHM,"NuStar Logistics, L. P. - Southlake",1700 Hwy 26,Grapevine,TX,76051,T-75-TX-2680
SLMANCKM,Kinder Morgan Southeast Terminals LLC,4383 Buffalo Rd.,Selma,NC,27576,T-56-NC-2033
SLMNCARC,Arc Terminals Holdings LLC,2999 W. Oak St.,Selma,NC,27576,T-56-NC-2025
SLMNCCTR,Kinder Morgan Southeast Terminals LLC,2200 West Oak St.,Selma,NC,27576,T-56-NC-2018
SLMNCKIM,Kinder Morgan Southeast Terminals LLC,4383 Buffalo Rd.,Selma,NC,27576,T-56-NC-2033
SLMNCKM,MPLX Selma (Buffalo) ,3707 Buffalo Road,Selma,NC,27576,T-56-NC-2029
SLMNCMAG,Magellan Terminals Holdings LP,4414 Buffalo Road,Selma,NC,27576,T-56-NC-2036
SLMNCMAR,MPLX Selma (West Oak),2555 West Oak Street,Selma,NC,27576,T-56-NC-2031
SLMNCPKM,Kinder Morgan Southeast Terminals LLC,4086 Buffalo Road,Selma,NC,27576,T-56-NC-2034
SLMNCTPS,TransMontaigne - Selma - N,2600 W. Oak St.,Selma,NC,27576,T-56-NC-2028
SPASCBUC,"Buckeye Terminals, LLC - Spartansburg",680 Delmar Road,Spartanburg,SC,29301,T-57-SC-2052
SPLQCIMP,IMPERIAL SEPT-ILES,18 Rue Retty ,SEPT-ÎLES,QC,NULL,NULL
SPOMECIT,CITGO - South Portland,102 Mechanic Street,South Portland,ME,4106,T-01-ME-1010
SPOWAEXX,ExxonMobil Oil Corp.,6311 East Sharp Avenue,Spokane,WA,99201,T-91-WA-4411
SPRSCCIT,CITGO - Spartanburg,2590 Southport Road,Spartanburg,SC,29301,T-57-SC-2077
SPRSCKIN,Kinder Morgan Southeast Terminals LLC,200 Nebo Street,Spartanburg,SC,29301,T-57-SC-2074
SPRSCKM,Kinder Morgan Southeast Terminals LLC,200 Nebo Street,Spartanburg,SC,29301,T-57-SC-2074
SPRSCMA1,Magellan Terminals Holdings LP,Old Union Rd Route 4,Spartanburg,SC,29301,T-57-SC-2068
SPRSCMAG,Magellan Terminals Holdings LP,2430 Pine Street Ext,Spartanburg,SC,29301,T-57-SC-2076
SPRSCMOT,Motiva Enterprises LLC,300 Delmar Road,Spartanburg,SC,29301,T-57-SC-2075
SRSMEIRV,"Irving Oil Terminals, Inc",Station Ave,Searsport,ME,4974,T-01-ME-1006
STJNBIRV,IRVING OIL REFINERY,340 Loch Lomond Road,Saint John,IN,46373,NULL
STJNLVAL,NARL VALERO,29 Pippy Place,Saint John,IN,46373,NULL
STKCASHL,Shell Oil Products US - Stockton,3515 Navy Dirve,Stockton,CA,95201,T-68-CA-4628
STLSTA,J D Streett - St. Louis,3800 S. 1st St.,ST. LOUIS,MO,63147,T-43-MO-3701
STRQCVAL,VALERO ST-ROMUALD,165 Chemin des Îles ,SAINT-ROMUALD,QC,NULL,NULL
STRVAKM,Kinder Morgan Southeast Terminals LLC,5280 Terminal Road SW,Roanoke,VA,24001,T-54-VA-1690
